"id","post_id","language_code","name","description","content"
"06445f2a-78db-4dbc-b916-5203c707c83f","41387e59-1c31-4ada-9048-ca45dc017bdc","ar","توزيع حزم تدفئة – جنوب غزة، مخيم أسدود","تقديم حزم تدفئة للأسر في جنوب غزة لمساعدتهم على مواجهة برد الشتاء القارس والحفاظ على دفئهم وسلامتهم","يهدف هذا المشروع الإغاثي إلى توزيع حزم تدفئة على الأسر المقيمة في مخيم أسدود بجنوب غزة. مع انخفاض درجات الحرارة ونقص الموارد، يعاني العديد من الأسر، خصوصًا الأطفال وكبار السن، من صعوبة في الحفاظ على الدفء.
ومن خلال هذه المبادرة، قامت مؤسسة  جسر الامل بتوزيع 80 حزمة تدفئة على 80 مستفيدًا مباشرًا، لتوفير الدفء والراحة والأمان خلال فصل الشتاء القاسي. كما تمتد فائدة المشروع بشكل غير مباشر إلى أفراد أسرهم، مما يخفف من معاناتهم وينشر الأمل والتراحم بين أفراد المجتمع"
"196ccb72-0af9-4fe0-8c48-567648c54064","6b1f8985-9250-49af-aa11-2989a3684d71","en","Hope Bridge Kitchen","Prepared and distributed 15 large pots of rice to support displaced families and ease their daily hardships","As part of its mission to promote social solidarity and provide relief to displaced families, Hope Bridge Foundation implemented a hot meal kitchen project in Al-Nafaq Street.
Through this initiative, the foundation prepared and distributed 15 large pots of rice, benefiting 1,125 direct recipients and around 5,250 indirect beneficiaries from their families.
The project specifically targeted displaced families who lack access to daily food essentials, aiming to provide them with nutritious hot meals that bring comfort and hope during these difficult times."
"20007d2e-de5c-40bb-a883-afeb99563752","3fbc0f13-c711-46b0-9399-c1f90d3418de","en","Eid Al-Adha Meat Distribution Project","Distributing fresh meat and cooked meals to displaced families and association staff during Eid Al-Adha","Hope Bridge Foundation implemented a project to distribute sacrificial meat in southern Gaza during the Eid season, with the aim of strengthening social solidarity and bringing joy to needy families.
A total of 122 kg of fresh meat and 160 hot meals were distributed to displaced families, in addition to 40 kg of meat for the association’s staff.
The number of direct beneficiaries reached 322 people, while the indirect beneficiaries were around 360 people.
The project targeted displaced families and the association’s employees to provide them with protein-rich meals and share the joy of Eid with them."
"22c85dfe-e184-4ac1-a16a-ba6a75aa7ffb","ffd50e35-1141-44bc-9f8b-5e1f68ab4d4c","ar","مشروع توزيع الخبز","200 ربطة خبز طازج لدعم 200 أسرة نازحة، ليستفيد بشكل مباشر وغير مباشر أكثر من 1000 فرد","في إطار دعم الغذاء اليومي الأساسي، وتلبية للحاجة الملحة للخبز كسلعة رئيسية لا غنى عنها، نفذت مؤسسة جسر الأمل مشروع توزيع ربطات الخبز على الأسر النازحة.
تم خلال المشروع توزيع 200 ربطة خبز طازج استفاد منها بشكل مباشر 200 مستفيد، وبشكل غير مباشر 1000 فرد من أفراد الأسر.

أماكن التنفيذ:
معسكر جباليا ومدينة جباليا.

الفئات المستهدفة:
الأسر النازحة التي تواجه صعوبة في تأمين قوت يومها.

الهدف من المشروع:
المساهمة في سد حاجة الأسر من الخبز اليومي، وتخفيف العبء المعيشي عن كاهل العائلات التي تعيش ظروفًا صعبة."
"242fbb84-dd50-44d1-b904-b15f59b071fe","f6a910ac-076a-47be-83e0-9dfe77d6f53b","ar","التقرير السنوي متاح الآن","تقريرنا السنوي يسلط الضوء على الإنجازات.","تقريرنا السنوي للسنة المالية الماضية متاح الآن. يتضمن التقرير تفاصيل إنجازاتنا، ومبادراتنا الرئيسية، ونظرة عامة على الوضع المالي. إنه دليل على العمل الجاد لفريقنا والدعم الثابت من المانحين والشركاء. ندعوكم لقراءة التقرير والاطلاع على التأثير الذي أحدثته مساهماتكم."
"4016ab03-8297-4f4f-845c-ebc2db30e9c4","3fece07d-7db4-443f-a338-537dd0e4cf98","ar","مشروع الخيمة الطبية","مشروع إنساني لتقديم 95 نوعًا من الأدوية والعلاجات، يستفيد منه الأطفال المرضى في مدرسة حسن سلامة.","مشروع الخيمة الطبية هو مبادرة أطلقتها مؤسسة جسر الأمل لتقديم الرعاية الصحية الأساسية للأطفال المرضى وتخفيف معاناتهم.
من خلال هذا المشروع تم توفير 95 نوعًا من الأدوية والعلاجات الطبية، ليصل الدعم إلى 95 مستفيدًا مباشرًا و190 مستفيدًا غير مباشر.
تم تنفيذ المشروع في مدرسة حسن سلامة، واستهدف بشكل رئيسي الأطفال المصابين الذين يحتاجون إلى رعاية طبية أساسية.
الهدف الأساسي هو تحسين الصحة العامة للأطفال، وتخفيف معاناتهم، وتوفير علاجات أساسية تسهم في حياة أكثر صحة وأمانًا.

"
"556ebbef-ef48-47b8-aaae-596206fc48cf","f6a910ac-076a-47be-83e0-9dfe77d6f53b","en","Annual Report Now Available","Our annual report highlights achievements.","Our Annual Report for the past fiscal year is now available. The report details our accomplishments, key initiatives, and financial overview. It's a testament to the hard work of our team and the unwavering support of our donors and partners. We invite you to read the report and see the impact your contributions have made."
"5e925013-a18b-4a48-a5cb-261bd67f3f17","2ebf7c81-4773-4db6-8da1-6df8d179377b","en","Annual Report Now Available","Our annual report highlights achievements.","Our Annual Report for the past fiscal year is now available. The report details our accomplishments, key initiatives, and financial overview. It's a testament to the hard work of our team and the unwavering support of our donors and partners. We invite you to read the report and see the impact your contributions have made."
"6062f512-9ac7-4150-b3af-a6f0220b7b5d","1052c020-ea5d-4b3d-8fc6-957c99369c00","ar","توزيع ملابس شتوية","تقديم ملابس شتوية أساسية للأسر في جنوب غزة لمساعدتهم على مواجهة برودة الشتاء","
يهدف هذا المشروع الإغاثي إلى توزيع ملابس شتوية على الأطفال  المقيمة في مخيم أبو عريف ""ج"" بجنوب غزة. مع انخفاض درجات الحرارة وصعوبة الحصول على الملابس المناسبة، يعاني العديد من الأطفال والأسر من البرد الشديد. ومن خلال هذه المبادرة، قامت مؤسسة جسر الامل  بتوزيع ملابس دافئة على 29 مستفيدًا مباشرًا، مما وفر لهم الدفء والحماية خلال فصل الشتاء القاسي. كما تمتد فائدة هذا المشروع بشكل غير مباشر إلى أفراد عائلاتهم والمجتمع المحيط، ناشرًا الدفء والأمل في أرجاء المخيم"
"6a23144a-3d4d-4511-96a3-5f3378345ba2","ad98f99d-25e9-4c7b-828a-55eff228e4f4","ar","توزيع الخبز – جنوب غزة، مخيم أبو عريف","توزيع 250 ربطة خبز على الأسر في جنوب غزة لتوفير احتياجاتهم الغذائية الأساسية في ظل الظروف المعيشية الصعبة","يهدف هذا المشروع الإغاثي إلى توفير الخبز الطازج للأسر المقيمة في مخيم أبو عريف ""ج"" بجنوب غزة. نظرًا للظروف الاقتصادية والإنسانية الصعبة، تواجه العديد من الأسر صعوبة في تأمين الغذاء اليومي. ومن خلال هذه المبادرة، قامت مؤسسة جسر الامل  بتوزيع 250 ربطة خبز على 250 مستفيدًا مباشرًا، مما ساهم في دعم ما يقارب 1250 فردًا بشكل غير مباشر.
يساهم هذا المشروع في تخفيف معاناة الأسر وتوفير مصدر غذاء أساسي يرمز إلى العطاء والتكافل داخل المجتمع خلال الأوقات العصيبة"
